position	distance	allele0_0	allele0_1	allele1_0	allele1_1
N/A	0.00123446	0.999962	3.7867e-05	4.5448e-08	1
N/A	0.001254	0.999971	2.94417e-05	7.24965e-06	0.999993
N/A	0.00126224	0.99997	3.01235e-05	1.16488e-07	1
N/A	0.00126468	0.99997	2.98132e-05	0.000112287	0.999888
N/A	0.00127116	0.999965	3.52543e-05	3.48519e-06	0.999997
N/A	0.00127328	0.999968	3.20775e-05	0.000185362	0.999815
N/A	0.00127655	0.999972	2.79888e-05	4.3844e-08	1
N/A	0.00127821	0.999968	3.20125e-05	5.32917e-09	1
N/A	0.00128025	0.999961	3.93184e-05	7.04727e-08	1
N/A	0.00128058	0.999968	3.23672e-05	1.29531e-07	1
N/A	0.00128601	0.999963	3.67083e-05	0.000596421	0.999404
N/A	0.00128981	0.999961	3.86538e-05	1.02698e-09	1
N/A	0.00129538	0.999969	3.14079e-05	1.29459e-07	1
N/A	0.00129978	0.999964	3.60022e-05	4.02256e-09	1
N/A	0.00130111	0.999965	3.5431e-05	1.92645e-06	0.999998
N/A	0.00130173	0.999964	3.60243e-05	7.67829e-08	1
N/A	0.00130263	0.999968	3.24787e-05	0.000364955	0.999635
N/A	0.0013029	0.999974	2.60916e-05	3.1726e-06	0.999997
N/A	0.00131	0.999977	2.26357e-05	0.000506526	0.999493
N/A	0.00131418	0.999972	2.81153e-05	1.89255e-08	1
N/A	0.00131549	0.999964	3.63513e-05	3.79209e-06	0.999996
N/A	0.00132063	0.999967	3.27597e-05	2.32511e-07	1
N/A	0.00132172	0.999969	3.05576e-05	1.70699e-07	1
N/A	0.00132364	0.999969	3.09359e-05	1.46573e-09	1
N/A	0.00132462	0.999962	3.77413e-05	3.32626e-07	1
N/A	0.00132683	0.999968	3.16717e-05	0.000124681	0.999875
N/A	0.00132946	0.999974	2.56918e-05	7.3502e-07	0.999999
N/A	0.00133164	0.999979	2.12898e-05	0.000337853	0.999662
N/A	0.00133364	0.999969	3.10786e-05	2.32394e-06	0.999998
N/A	0.00133513	0.999976	2.38887e-05	0.00010679	0.999893
N/A	0.00133712	0.999968	3.24003e-05	3.78887e-08	1
N/A	0.00133776	0.99997	2.98851e-05	2.83537e-07	1
N/A	0.0013379	0.999967	3.25398e-05	0.000532152	0.999468
N/A	0.00133828	0.999967	3.32877e-05	2.12552e-06	0.999998
N/A	0.00134022	0.99997	3.03928e-05	1.73611e-09	1
N/A	0.00134126	0.999968	3.24717e-05	2.34615e-06	0.999998
N/A	0.00134259	0.999976	2.37008e-05	3.53074e-08	1
N/A	0.00134379	0.999973	2.70629e-05	5.72453e-08	1
N/A	0.00134598	0.99997	2.99539e-05	2.44105e-05	0.999976
N/A	0.00134601	0.999969	3.1442e-05	0.000443054	0.999557
N/A	0.00134624	0.999973	2.68272e-05	2.18975e-05	0.999978
N/A	0.00134635	0.999977	2.31079e-05	0.000760033	0.99924
N/A	0.00134702	0.999969	3.10507e-05	3.88474e-05	0.999961
