position	distance	allele0_0	allele0_1	allele1_0	allele1_1
N/A	0.00173651	0.999958	4.179e-05	1.03109e-05	0.99999
N/A	0.00180209	0.999968	3.2198e-05	2.52973e-09	1
N/A	0.00181175	0.999968	3.22786e-05	5.83303e-06	0.999994
N/A	0.00181854	0.999956	4.41968e-05	9.35574e-09	1
N/A	0.00182885	0.99996	3.99153e-05	1.24197e-08	1
N/A	0.00184579	0.999971	2.92074e-05	3.92846e-08	1
N/A	0.00184676	0.999962	3.75424e-05	2.94057e-07	1
N/A	0.00184688	0.999955	4.45592e-05	1.08961e-09	1
N/A	0.00184689	0.999967	3.25032e-05	1.6032e-07	1
N/A	0.00185062	0.999974	2.58032e-05	2.71308e-08	1
N/A	0.00185129	0.999956	4.35818e-05	3.21373e-08	1
N/A	0.00185132	0.999957	4.25094e-05	9.05754e-07	0.999999
N/A	0.00185552	0.999955	4.53704e-05	1.15583e-09	1
N/A	0.00185759	0.999964	3.62016e-05	1.13534e-05	0.999989
N/A	0.00185838	0.999958	4.23608e-05	2.18189e-09	1
N/A	0.00185853	0.999965	3.49196e-05	0.000568571	0.999431
N/A	0.00186183	0.999967	3.33328e-05	4.15988e-07	1
N/A	0.00186199	0.999967	3.34061e-05	8.59895e-07	0.999999
N/A	0.001866	0.999971	2.92371e-05	1.17866e-08	1
N/A	0.00186629	0.999967	3.34474e-05	4.79812e-08	1
N/A	0.00186697	0.999965	3.46873e-05	2.88018e-07	1
N/A	0.0018714	0.999946	5.4493e-05	0.000209413	0.999791
N/A	0.00187333	0.999968	3.18409e-05	3.12234e-06	0.999997
N/A	0.00187459	0.999954	4.59961e-05	6.82408e-06	0.999993
N/A	0.00187627	0.999966	3.40612e-05	5.92375e-09	1
N/A	0.0018893	0.999959	4.14374e-05	4.23304e-09	1
N/A	0.00189109	0.999965	3.5495e-05	2.39561e-07	1
N/A	0.0018934	0.999975	2.48454e-05	7.80244e-09	1
N/A	0.00189381	0.999971	2.87997e-05	8.67458e-08	1
N/A	0.00189441	0.999968	3.22101e-05	0.000296022	0.999704
N/A	0.00189551	0.999965	3.47524e-05	0.000171879	0.999828
N/A	0.00189686	0.999965	3.51265e-05	1.11055e-09	1
N/A	0.00189752	0.999972	2.78578e-05	7.27528e-08	1
N/A	0.00189809	0.999963	3.69979e-05	3.60503e-09	1
N/A	0.00190052	0.999966	3.44413e-05	1.96042e-08	1
