Gen	Base	Freq	Pos
2	0	0.9998	2
2	1	0.00019999999999997797	2
5	0	0.9996	2
5	1	0.00039999999999995595	2
8	0	0.9996	2
8	1	0.00039999999999995595	2
10	0	0.9996	2
10	1	0.00039999999999995595	2
12	0	0.9995	2
12	1	0.0004999999999999449	2
2	0	0.9998	5
2	1	0.00019999999999997797	5
5	0	0.9996	5
5	1	0.00039999999999995595	5
8	0	0.9996	5
8	1	0.00039999999999995595	5
10	0	0.9996	5
10	1	0.00039999999999995595	5
12	0	0.9995	5
12	1	0.0004999999999999449	5
2	0	0.9998	8
2	1	0.00019999999999997797	8
5	0	0.9996	8
5	1	0.00039999999999995595	8
8	0	0.9996	8
8	1	0.00039999999999995595	8
10	0	0.9995	8
10	1	0.0004999999999999449	8
12	0	0.9995	8
12	1	0.0004999999999999449	8
2	0	0.9998	11
2	1	0.00019999999999997797	11
5	0	0.9996	11
5	1	0.00039999999999995595	11
8	0	0.9996	11
8	1	0.00039999999999995595	11
10	0	0.9995	11
10	1	0.0004999999999999449	11
12	0	0.9995	11
12	1	0.0004999999999999449	11
2	0	0.9998	13
2	1	0.00019999999999997797	13
5	0	0.9996	13
5	1	0.00039999999999995595	13
8	0	0.9996	13
8	1	0.00039999999999995595	13
10	0	0.9995	13
10	1	0.0004999999999999449	13
12	0	0.9995	13
12	1	0.0004999999999999449	13
2	0	0.9998	14
2	1	0.00019999999999997797	14
5	0	0.9996	14
5	1	0.00039999999999995595	14
8	0	0.9996	14
8	1	0.00039999999999995595	14
10	0	0.9995	14
10	1	0.0004999999999999449	14
12	0	0.9995	14
12	1	0.0004999999999999449	14
2	0	0.9998	17
2	1	0.00019999999999997797	17
5	0	0.9996	17
5	1	0.00039999999999995595	17
8	0	0.9996	17
8	1	0.00039999999999995595	17
10	0	0.9995	17
10	1	0.0004999999999999449	17
12	0	0.9995	17
12	1	0.0004999999999999449	17
2	0	0.9998	20
2	1	0.00019999999999997797	20
5	0	0.9996	20
5	1	0.00039999999999995595	20
8	0	0.9996	20
8	1	0.00039999999999995595	20
10	0	0.9995	20
10	1	0.0004999999999999449	20
12	0	0.9995	20
12	1	0.0004999999999999449	20
2	0	0.9998	23
2	1	0.00019999999999997797	23
5	0	0.9996	23
5	1	0.00039999999999995595	23
8	0	0.9996	23
8	1	0.00039999999999995595	23
10	0	0.9995	23
10	1	0.0004999999999999449	23
12	0	0.9995	23
12	1	0.0004999999999999449	23
2	0	0.9998	26
2	1	0.00019999999999997797	26
5	0	0.9996	26
5	1	0.00039999999999995595	26
8	0	0.9996	26
8	1	0.00039999999999995595	26
10	0	0.9995	26
10	1	0.0004999999999999449	26
12	0	0.9995	26
12	1	0.0004999999999999449	26
2	0	0.9998	29
2	1	0.00019999999999997797	29
5	0	0.9996	29
5	1	0.00039999999999995595	29
8	0	0.9996	29
8	1	0.00039999999999995595	29
10	0	0.9995	29
10	1	0.0004999999999999449	29
12	0	0.9995	29
12	1	0.0004999999999999449	29
2	0	0.9998	32
2	1	0.00019999999999997797	32
5	0	0.9996	32
5	1	0.00039999999999995595	32
8	0	0.9996	32
8	1	0.00039999999999995595	32
10	0	0.9995	32
10	1	0.0004999999999999449	32
12	0	0.9995	32
12	1	0.0004999999999999449	32
2	0	0.9998	35
2	1	0.00019999999999997797	35
5	0	0.9996	35
5	1	0.00039999999999995595	35
8	0	0.9996	35
8	1	0.00039999999999995595	35
10	0	0.9995	35
10	1	0.0004999999999999449	35
12	0	0.9995	35
12	1	0.0004999999999999449	35
2	0	0.9998	38
2	1	0.00019999999999997797	38
5	0	0.9996	38
5	1	0.00039999999999995595	38
8	0	0.9996	38
8	1	0.00039999999999995595	38
10	0	0.9995	38
10	1	0.0004999999999999449	38
12	0	0.9995	38
12	1	0.0004999999999999449	38
2	0	0.9998	41
2	1	0.00019999999999997797	41
5	0	0.9996	41
5	1	0.00039999999999995595	41
8	0	0.9996	41
8	1	0.00039999999999995595	41
10	0	0.9995	41
10	1	0.0004999999999999449	41
12	0	0.9995	41
12	1	0.0004999999999999449	41
2	0	0.9998	43
2	1	0.00019999999999997797	43
5	0	0.9996	43
5	1	0.00039999999999995595	43
8	0	0.9996	43
8	1	0.00039999999999995595	43
10	0	0.9995	43
10	1	0.0004999999999999449	43
12	0	0.9995	43
12	1	0.0004999999999999449	43
2	0	0.9998	44
2	1	0.00019999999999997797	44
5	0	0.9996	44
5	1	0.00039999999999995595	44
8	0	0.9996	44
