Gen	Base	Freq	Pos
2	0	0.9998	2
2	1	0.0002	2
5	0	0.9996	2
5	1	0.0004	2
8	0	0.999	2
8	1	0.001	2
10	0	0.999	2
10	1	0.001	2
12	0	0.9995	2
12	1	0.0005	2
2	0	0.9997	5
2	1	0.0003	5
5	0	0.9995	5
5	1	0.0005	5
8	0	0.9995	5
8	1	0.0005	5
10	0	0.9996	5
10	1	0.0004	5
12	0	0.9995	5
12	1	0.0005	5
2	0	0.9996	8
2	1	0.0004	8
5	0	0.9995	8
5	1	0.0005	8
8	0	0.9996	8
8	1	0.0004	8
10	0	0.9995	8
10	1	0.0005	8
12	0	0.9988	8
12	1	0.0012	8
2	0	0.9998	11
2	1	0.0002	11
5	0	0.9996	11
5	1	0.0004	11
8	0	0.9995	11
8	1	0.0005	11
10	0	0.9995	11
10	1	0.0005	11
12	0	0.9995	11
12	1	0.0005	11
2	0	0.9996	13
2	1	0.0004	13
5	0	0.9995	13
5	1	0.0005	13
8	0	0.9996	13
8	1	0.0004	13
10	0	0.9995	13
10	1	0.0005	13
12	0	0.9994	13
12	1	0.0006	13
2	0	0.9994	14
2	1	0.0006	14
5	0	0.9995	14
5	1	0.0005	14
8	0	0.9996	14
8	1	0.0004	14
10	0	0.9995	14
10	1	0.0005	14
12	0	0.9994	14
12	1	0.0006	14
2	0	0.9996	17
2	1	0.0004	17
5	0	0.9995	17
5	1	0.0005	17
8	0	0.9995	17
8	1	0.0005	17
10	0	0.9988	17
10	1	0.0012	17
12	0	0.9995	17
12	1	0.0005	17
2	0	0.9994	20
2	1	0.0006	20
5	0	0.9996	20
5	1	0.0004	20
8	0	0.9992	20
8	1	0.0008	20
10	0	0.9988	20
10	1	0.0012	20
12	0	0.9994	20
12	1	0.0006	20
2	0	0.9998	23
2	1	0.0002	23
5	0	0.9995	23
5	1	0.0005	23
8	0	0.9996	23
8	1	0.0004	23
10	0	0.9995	23
10	1	0.0005	23
12	0	0.9994	23
12	1	0.0006	23
2	0	0.9997	26
2	1	0.0003	26
5	0	0.9995	26
5	1	0.0005	26
8	0	0.9995	26
8	1	0.0005	26
10	0	0.9995	26
10	1	0.0005	26
12	0	0.9988	26
12	1	0.0012	26
2	0	0.9996	29
2	1	0.0004	29
5	0	0.9996	29
5	1	0.0004	29
8	0	0.9995	29
8	1	0.0005	29
10	0	0.9988	29
10	1	0.0012	29
12	0	0.9988	29
12	1	0.0012	29
2	0	0.9998	32
2	1	0.0002	32
5	0	0.9996	32
5	1	0.0004	32
8	0	0.9995	32
8	1	0.0005	32
10	0	0.9994	32
10	1	0.0006	32
12	0	0.9995	32
12	1	0.0005	32
2	0	0.9997	35
2	1	0.0003	35
5	0	0.9996	35
5	1	0.0004	35
8	0	0.9996	35
8	1	0.0004	35
10	0	0.9994	35
10	1	0.0006	35
12	0	0.9994	35
12	1	0.0006	35
2	0	0.9998	38
2	1	0.0002	38
5	0	0.9995	38
5	1	0.0005	38
8	0	0.9995	38
8	1	0.0005	38
10	0	0.9995	38
10	1	0.0005	38
12	0	0.9994	38
12	1	0.0006	38
2	0	0.9996	41
2	1	0.0004	41
5	0	0.9996	41
5	1	0.0004	41
8	0	0.9996	41
8	1	0.0004	41
10	0	0.9994	41
10	1	0.0006	41
12	0	0.9994	41
12	1	0.0006	41
2	0	0.9998	43
2	1	0.0002	43
5	0	0.9996	43
5	1	0.0004	43
8	0	0.999	43
8	1	0.001	43
10	0	0.9995	43
10	1	0.0005	43
12	0	0.999	43
12	1	0.001	43
2	0	0.9997	44
2	1	0.0003	44
5	0	0.9995	44
5	1	0.0005	44
8	0	0.9995	44
8	1	0.0005	44
10	0	0.9994	44
10	1	0.0006	44
12	0	0.9995	44
12	1	0.0005	44
2	0	0.9998	47
2	1	0.0002	47
5	0	0.9996	47
5	1	0.0004	47
8	0	0.9992	47
8	1	0.0008	47
10	0	0.999	47
10	1	0.001	47
12	0	0.999	47
12	1	0.001	47
2	0	0.9997	50
2	1	0.0003	50
5	0	0.9996	50
5	1	0.0004	50
8	0	0.9996	50
8	1	0.0004	50
10	0	0.9995	50
10	1	0.0005	50
12	0	0.9988	50
12	1	0.0012	50
2	0	0.9998	52
2	1	0.0002	52
5	0	0.9995	52
5	1	0.0005	52
8	0	0.9995	52
8	1	0.0005	52
10	0	0.9994	52
10	1	0.0006	52
12	0	0.9994	52
12	1	0.0006	52
2	0	0.9997	53
2	1	0.0003	53
5	0	0.9992	53
5	1	0.0008	53
8	0	0.9995	53
8	1	0.0005	53
10	0	0.9995	53
10	1	0.0005	53
12	0	0.999	53
12	1	0.001	53
2	0	0.9998	56
2	1	0.0002	56
5	0	0.999	56
5	1	0.001	56
8	0	0.9996	56
8	1	0.0004	56
10	0	0.9995	56
10	1	0.0005	56
12	0	0.999	56
12	1	0.001	56
2	0	0.9998	59
2	1	0.0002	59
5	0	0.999	59
5	1	0.001	59
8	0	0.999	59
8	1	0.001	59
10	0	0.9995	59
